Graduation Year,Concentration (or best guess),Prior CS background:,What gender do you identify with
2018,HDRB,Never taken CS at Harvard,Female
2018,religion,Never taken CS at Harvard,Male
2017,Biomedical Engineering,Never taken CS at Harvard,Female
2017,Human Evolutionary Biology,Never taken CS at Harvard,Male
2018,Anthropology,Never taken CS at Harvard,Male
2017,Neurobiology,Never taken CS at Harvard,Male
2018,Neurobiology,Never taken CS at Harvard,Female
2017,Psychology,Never taken CS at Harvard,Female
2017,VES,Never taken CS at Harvard,Prefer not to say
2018,Mcb,Never taken CS at Harvard,Female
2017,Hist & Lit,Never taken CS at Harvard,Female
2019,East Asian Studies / Gov,Never taken CS at Harvard,Female
2016,Psychology,Never taken CS at Harvard,Female
2016,Neurobiology,Never taken CS at Harvard,Female
2018,BME,Never taken CS at Harvard,Female
2018,Economics,Never taken CS at Harvard,Female
2017,MCB,Never taken CS at Harvard,Male
2017,History,Never taken CS at Harvard,Female
2018,Anthropology ,Never taken CS at Harvard,Female
2017,Social Studies,Never taken CS at Harvard,Female
2018,economics,Never taken CS at Harvard,Male
2018,Applied Math,Never taken CS at Harvard,Female
2018,Neurobiology,Never taken CS at Harvard,Female
2018,Economics,Never taken CS at Harvard,Male
2017,Histoey,Never taken CS at Harvard,Female
2018,Hist and Lit,Never taken CS at Harvard,Male
2017,History,Never taken CS at Harvard,Female
2016,Government,Never taken CS at Harvard,Male
2017,Chemistry,Never taken CS at Harvard,Male
2016,Physics and math,Never taken CS at Harvard,Female
2018,History and Literature,Never taken CS at Harvard,Male
2018,Social Anthropology,Never taken CS at Harvard,Female
2017,Neurobiology/MBB track,Never taken CS at Harvard,Female
Dec-16,Government/Slavic Languages and Literature,Never taken CS at Harvard,Female
2018,Government,Never taken CS at Harvard,Female
2019,Applied Math,Never taken CS at Harvard,Male
2016,Chemistry,Never taken CS at Harvard,Male
2017,Social Studies ,Never taken CS at Harvard,Female
2018,astrophysics and philosophy,Never taken CS at Harvard,Female
2017,Folklore and Mythology,Never taken CS at Harvard,Female
2018,hist and lit,Never taken CS at Harvard,Female
2016,Astrophysics,Never taken CS at Harvard,Female
2018,Economics,Never taken CS at Harvard,Male
2017,Integrative Biology,Never taken CS at Harvard,Female
2016,History and Literature,Never taken CS at Harvard,Female
2016,Linguistics & Anthropology,Never taken CS at Harvard,Female
2017,Religion,Never taken CS at Harvard,Female
2017,hdrb,Never taken CS at Harvard,Female
2018,HEB,Never taken CS at Harvard,Male
2017,Folklore and Mythology,Never taken CS at Harvard,Female
2018,Neurobiology,Never taken CS at Harvard,Male
2018,Psychology,Never taken CS at Harvard,Female
2017,Gov.,Never taken CS at Harvard,Male
2018,Applied math,Never taken CS at Harvard,Male
2018,History,Never taken CS at Harvard,Female
2017,HEB,Never taken CS at Harvard,Female
2016,Human Developmental and Regenerative Biology,Never taken CS at Harvard,Male
2018,Economics,Never taken CS at Harvard,Female
2018,OEB,Never taken CS at Harvard,
2018,Sociology ,Never taken CS at Harvard,Female
2016,Social Anthropology,Never taken CS at Harvard,Female
2017,Joint Sociology and African Studies,Never taken CS at Harvard,Male
2016,VES,Never taken CS at Harvard,Female
2016,Government,Never taken CS at Harvard,Female
2018,Sociology,Never taken CS at Harvard,Female
2017,Anthropology,Never taken CS at Harvard,Female
2017,Chemistry,Never taken CS at Harvard,Female
2017,Government and South Asian Studies,Never taken CS at Harvard,Female
2016,English,Never taken CS at Harvard,Female
2017,cognitive neuroscience,Never taken CS at Harvard,Female
2018,AAAS,Never taken CS at Harvard,Male
2017,Social Anthropology,Never taken CS at Harvard,Female
2018,Philosophy,Never taken CS at Harvard,Male
2018,english,Never taken CS at Harvard,Female
2018,Neurobiology,Never taken CS at Harvard,Female
2018,HDRB,Never taken CS at Harvard,Female
2017,Integrative Bio,Never taken CS at Harvard,Female
2018,Interactive biology,Never taken CS at Harvard,Male
2016,History and Literature,Never taken CS at Harvard,Female
2016,Ec,Never taken CS at Harvard,Female
2016,Psychology ,Never taken CS at Harvard,Male
2016,Neuro,Never taken CS at Harvard,Male
2018,HDRB ,Never taken CS at Harvard,Female
2018,Social Studies,Never taken CS at Harvard,Female
2018,Mathematics/Physics,Never taken CS at Harvard,Male
2016,OEB,Never taken CS at Harvard,Female
2016,History & Literature,Never taken CS at Harvard,Female
2018,Government,Never taken CS at Harvard,Female
2018,MCB,Never taken CS at Harvard,Female
2017,History & Literature,Never taken CS at Harvard,Female
2018,Folklore and Mythology,Never taken CS at Harvard,Female
2016,Comparative Literature,Never taken CS at Harvard,Female
2018,"Theater, Dance, and Media",Never taken CS at Harvard,Male
2016,OEB,Never taken CS at Harvard,Female
2017,Sociology & WGS,Never taken CS at Harvard,Male
2016,Neurobiology,Never taken CS at Harvard,Female
2017,Romance Languages and Literaures,Never taken CS at Harvard,Female
2018,Social Studies,Never taken CS at Harvard,Female
2018,Neurobiology ,Never taken CS at Harvard,Male
2016,Social Studies,Never taken CS at Harvard,Female
2016,Applied Math,Never taken CS at Harvard,Male
2018,Chemistry,Never taken CS at Harvard,Female
2017,Psychology,Never taken CS at Harvard,Female
2018,Government,Never taken CS at Harvard,Female
2018,Chemistry,Never taken CS at Harvard,Male
2017,economics,Never taken CS at Harvard,Female
2017,Biomedical Engineering,Never taken CS at Harvard,Female
2017,Environmental Science and Public Policy,Never taken CS at Harvard,Female
2017,History,Never taken CS at Harvard,Female
2017,Government,Never taken CS at Harvard,Female
2017,Anthropology,Never taken CS at Harvard,Female
2017,Government,Never taken CS at Harvard,Female
2017,History,Never taken CS at Harvard,Female
2018,"Anthropology, Music",Never taken CS at Harvard,Male
2018,Integrative Biology,Never taken CS at Harvard,Male
2018,statistics,Never taken CS at Harvard,Female
2017,Human Evolutionary Biology,Never taken CS at Harvard,Female
2016,Economics,Never taken CS at Harvard,Female
2018,English,Never taken CS at Harvard,Male
2017,EPS,Never taken CS at Harvard,Female
2017,Economics,Never taken CS at Harvard,Female
2017,HEB,Never taken CS at Harvard,Female
2018,Sociology,Never taken CS at Harvard,Female
2018,Neurobiology,Never taken CS at Harvard,Female
2018,Applied Math (Maybe Pre-vet),Never taken CS at Harvard,Female
2017,government,Never taken CS at Harvard,Female
2018,Sociology,Never taken CS at Harvard,Female
2018,Music,Never taken CS at Harvard,Male
2016,Social Studies and Classics,Never taken CS at Harvard,Male
2017,MCB,Never taken CS at Harvard,Male
2018,HDRB,Never taken CS at Harvard,Male
2018,Mechanical Engineering,Never taken CS at Harvard,Male
2016,History of art and Architecture,Never taken CS at Harvard,Female
2018,Math/Philosophy,Never taken CS at Harvard,Male
2018,Espp,Never taken CS at Harvard,Female
2017,Economics,Never taken CS at Harvard,Male
2016,OEB,Never taken CS at Harvard,Male
2016,Social Studies,Never taken CS at Harvard,Female
2018,MCB,Never taken CS at Harvard,Female
2018,HDRB,Never taken CS at Harvard,Female
2016,psychology ,Never taken CS at Harvard,Female
2017,Psychology,Never taken CS at Harvard,Female
2016,Government,Never taken CS at Harvard,Male
2016,Neurobiology,Never taken CS at Harvard,Female
2016,Human Evolutionary Biology,Never taken CS at Harvard,Male
2016,Physics,Never taken CS at Harvard,Female
2016,CPB,Never taken CS at Harvard,Female
2017,Chemistry,Never taken CS at Harvard,Female
2017,History and Literature,Never taken CS at Harvard,Female
2018,Biomedical Engineering,Never taken CS at Harvard,Male
2018,Math,Never taken CS at Harvard,Male
2019,Computer science,Never taken CS at Harvard,Male
2019,Physics,Never taken CS at Harvard,Male
2019,Life sciences,Never taken CS at Harvard,Male
2019,Engineering,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,Human Developmental and Regenerative Biology,Never taken CS at Harvard,Male
2019,Government,Never taken CS at Harvard,Female
2019,Engineering ,Never taken CS at Harvard,Male
2017,Statistics,Never taken CS at Harvard,Female
2016,History,Never taken CS at Harvard,Male
2018,Economics,Never taken CS at Harvard,Female
2017,Statistics,Never taken CS at Harvard,Female
2018,Math,Never taken CS at Harvard,Female
2018,Government,Never taken CS at Harvard,Female
2018,Economics,Never taken CS at Harvard,Female
2018,ESPP,Never taken CS at Harvard,Male
2018,Sociology,Never taken CS at Harvard,Male
2017,Neurobiology,Never taken CS at Harvard,Female
2016,Psychology,Never taken CS at Harvard,Female
2016,neurobiology,Never taken CS at Harvard,Female
2016,OEB,Never taken CS at Harvard,Female
2018,Economics,Never taken CS at Harvard,Male
2018,English or HDRB,Never taken CS at Harvard,Female
2018,MCB,Never taken CS at Harvard,Male
2018,History and Literature,Never taken CS at Harvard,Male
2017,IB,Never taken CS at Harvard,Female
2018,Government,Never taken CS at Harvard,Male
2018,English,Never taken CS at Harvard,Female
2017,History and Literature,Never taken CS at Harvard,"First off, male and female are sex and not gender. I identify as gender-fluid but my sex is male."
2017,History and Science,Never taken CS at Harvard,Female
2017,Psychology,Never taken CS at Harvard,Female
2018,Classics,Never taken CS at Harvard,Male
2018,Religion,Never taken CS at Harvard,Male
2017,MCB,Never taken CS at Harvard,Female
2016,History,Never taken CS at Harvard,Male
2017,MCB,Never taken CS at Harvard,Female
2018,HDRB,Never taken CS at Harvard,Female
2018,ESPP,Never taken CS at Harvard,Female
2018,chemistry ,Never taken CS at Harvard,Female
2017,Economics ,Never taken CS at Harvard,Female
2018,Cognitive Neuroscience,Never taken CS at Harvard,Female
2016,Government,Never taken CS at Harvard,Male
2016,History,Never taken CS at Harvard,Female
2017,economics,Never taken CS at Harvard,Male
2017,History,Never taken CS at Harvard,Male
2017,Government,Never taken CS at Harvard,Female
2016,Government,Never taken CS at Harvard,Female
2017,Government,Never taken CS at Harvard,Female
2018,Economics,Never taken CS at Harvard,Female
2017,Economics,Never taken CS at Harvard,Male
2018,History and Literature,Never taken CS at Harvard,Female
2018,Social Anthropology,Never taken CS at Harvard,Female
2016,Human Evolutionary Biology,Never taken CS at Harvard,Female
2016,English,Never taken CS at Harvard,Female
2016,neuro,Never taken CS at Harvard,Female
2017,English,Never taken CS at Harvard,Female
2018,Psychology (Life Science Track),Never taken CS at Harvard,Female
2018,Gov,Never taken CS at Harvard,Male
2017,Government,Never taken CS at Harvard,Female
2016,Economics,Never taken CS at Harvard,Female
2017,Social Studies,Never taken CS at Harvard,Male
2016,Psychology,Never taken CS at Harvard,Female
2018,Government,Never taken CS at Harvard,Female
2016,Economics,Never taken CS at Harvard,Male
2017,Psychology,Never taken CS at Harvard,Female
2018,Economics,Never taken CS at Harvard,Male
2016,Hist and Lit,Never taken CS at Harvard,Female
2017,Music,Never taken CS at Harvard,Male
2017,Psychology,Never taken CS at Harvard,Male
2018,History and Literature,Never taken CS at Harvard,Female
2017,Neurobiology,Never taken CS at Harvard,Female
2016,HDRB,Never taken CS at Harvard,Female
2018,Sociology,Never taken CS at Harvard,Female
2018,Human Evolutionary Biology,Never taken CS at Harvard,Female
2018,CS,Never taken CS at Harvard,Male
2017,Sociology,Never taken CS at Harvard,Male
2018,Economics,Never taken CS at Harvard,Male
2017,Integrative Biology,Never taken CS at Harvard,Female
2018,OEB/IB,Never taken CS at Harvard,Female
2016,Social Studies & WGS,Never taken CS at Harvard,Female
2018,English,Never taken CS at Harvard,Female
2016,Human Evolutionary Biology,Never taken CS at Harvard,Female
2018,Economics,Never taken CS at Harvard,Female
2017,Sociology,Never taken CS at Harvard,Female
2017,Environmental Science and Public Policy,Never taken CS at Harvard,Male
2017,Environmental Science Public Policy,Never taken CS at Harvard,Female
2016,Psychology,Never taken CS at Harvard,Female
2017,English and Music,Never taken CS at Harvard,Female
2018,Romance Languages and Literatures,Never taken CS at Harvard,Male
2016,Neurobiology,Never taken CS at Harvard,Female
2017,Sociology,Never taken CS at Harvard,Female
2016,VES,Never taken CS at Harvard,Female
2018,HDRB,Never taken CS at Harvard,Female
2015,Econ,Never taken CS at Harvard,Female
2017,Government,Never taken CS at Harvard,Male
2016,Economics,Never taken CS at Harvard,Female
2016,Psychology,Never taken CS at Harvard,Female
2016,HEB,Never taken CS at Harvard,Female
2018,BME,Never taken CS at Harvard,Female
2019,HAA,Never taken CS at Harvard,Female
2019,Music,Never taken CS at Harvard,Male
2019,English,Never taken CS at Harvard,Female
2019,MCB,Never taken CS at Harvard,Female
2016,HDRB,Never taken CS at Harvard,Female
2019,HDRB,Never taken CS at Harvard,Female
2019,English,Never taken CS at Harvard,Female
2019,Physics,Never taken CS at Harvard,Male
2018,Psychology,Never taken CS at Harvard,Female
2019,Economics,Never taken CS at Harvard,Female
2019,Economics,Never taken CS at Harvard,Male
2019,EPS,Never taken CS at Harvard,Male
2016,HDRB,Never taken CS at Harvard,Male
2016,Folklore and Mythology,Never taken CS at Harvard,Female
2019,History,Never taken CS at Harvard,Female
2019,Stat,Never taken CS at Harvard,Male
2016,Environmental science and public policy,Never taken CS at Harvard,Female
2019,Science,Never taken CS at Harvard,Female
2018,Social studies ,Never taken CS at Harvard,Female
2017,Neurobiology,Never taken CS at Harvard,Female
2017,MCB,Never taken CS at Harvard,Female
2019,Applied Maths (probably),Never taken CS at Harvard,Female
2019,History,Never taken CS at Harvard,Male
2018,English,Never taken CS at Harvard,Female
2019,Earth and Planetary Sciences,Never taken CS at Harvard,Male
2018,Social Studies,Never taken CS at Harvard,Nonbinary
2019,Mechanical Engineering,Never taken CS at Harvard,Female
2016,Psychology,Never taken CS at Harvard,Female
2018,Economics,Never taken CS at Harvard,Female
2018,EPS,Never taken CS at Harvard,Female
2017,Earth and Planetary Sciences,Never taken CS at Harvard,Female
2019,Economics,Never taken CS at Harvard,Female
2016,Human Developmental and Regenerative Biology,Never taken CS at Harvard,Male
2019,Economics,Never taken CS at Harvard,Male
2017,MCB,Never taken CS at Harvard,Female
2017,Sociology and Folk&Myth,Never taken CS at Harvard,Female
2019,History,Never taken CS at Harvard,Male
2019,Statistics,Never taken CS at Harvard,Male
2019,Chemistry ,Never taken CS at Harvard,Female
2019,government,Never taken CS at Harvard,Female
2019,HDRB,Never taken CS at Harvard,Female
2018,Government,Never taken CS at Harvard,Female
2016,Psychology: Neuroscience ,Never taken CS at Harvard,Female
2015,Government,Never taken CS at Harvard,Female
2016,Psychology,Never taken CS at Harvard,Female
2018,HDRB,Never taken CS at Harvard,Female
2018,History & Literature,Never taken CS at Harvard,Female
2016,Neurobiology,Never taken CS at Harvard,Male
2017,History,Never taken CS at Harvard,Female
2016,Hist and Lit,Never taken CS at Harvard,Female
2017,Computer Science,Never taken CS at Harvard,Female
2017,HEB,Never taken CS at Harvard,Female
2019,Neurobiology,Never taken CS at Harvard,Female
2018,Social Studies,Never taken CS at Harvard,Female
2017,History and Science,Never taken CS at Harvard,Female
2019,Religion/NELC,Never taken CS at Harvard,Male
2018,Social Anthropology and French,Never taken CS at Harvard,Female
2019,Economics,Never taken CS at Harvard,Male
2019,Neurobiology,Never taken CS at Harvard,Female
2018,Psychology,Never taken CS at Harvard,Male
2018,VES,Never taken CS at Harvard,Male
2019,Engineering Sciences,Never taken CS at Harvard,Female
2019,Social Studies,Never taken CS at Harvard,Male
2018,Social Anthropology ,Never taken CS at Harvard,Female
2016,Astrophysics,Never taken CS at Harvard,Female
2018,Government,Never taken CS at Harvard,Male
2019,Possibly Astrophysics or WGS,Never taken CS at Harvard,Female
2018,English and Linguistics,Never taken CS at Harvard,Female
2019,Statistics,Never taken CS at Harvard,Male
2018,Psychology,Never taken CS at Harvard,Female
2019,Mathematics,Never taken CS at Harvard,Female
2019,economics,Never taken CS at Harvard,Male
2019,MCB,Never taken CS at Harvard,Male
2017,Joint comparative literature and theatre dance and media,Never taken CS at Harvard,Female
2019,mcb,Never taken CS at Harvard,Female
2018,PSYCHOLOGY,Never taken CS at Harvard,Female
2018,Government,Never taken CS at Harvard,Female
2019,Government,Never taken CS at Harvard,Female
2018,Economics,Never taken CS at Harvard,Male
2019,HDRB,Never taken CS at Harvard,Female
2018,Economics,Never taken CS at Harvard,Male
2019,mechanical engineering,Never taken CS at Harvard,Female
2017,Neurobiology,Never taken CS at Harvard,Female
2018,English,Never taken CS at Harvard,Female
2017,Human Evolutionary Biology,Never taken CS at Harvard,Female
2018,History of Art and Architecture,Never taken CS at Harvard,Female
2018,CPB,Never taken CS at Harvard,Male
2017,Anthropology,Never taken CS at Harvard,Female
2017,Economics ,Never taken CS at Harvard,Male
2016,English,Never taken CS at Harvard,Female
2018,Mathematics ,Never taken CS at Harvard,Male
2017,Human Evolutionary Biology ,Never taken CS at Harvard,Female
2019,chemistry/physics,Never taken CS at Harvard,Female
2019,Physics+Math,Never taken CS at Harvard,Male
2018,Chem,Never taken CS at Harvard,Female
2019,MCB,Never taken CS at Harvard,Female
2019,Applied Math Economics,Never taken CS at Harvard,Female
2016,Organismic and Evolutionary Biology,Never taken CS at Harvard,Female
2019,HDRB,Never taken CS at Harvard,Female
2019,Computer Science,Never taken CS at Harvard,Female
2016,Stat,Never taken CS at Harvard,Male
2019,HDRB,Never taken CS at Harvard,Female
2019,Applied Math,Never taken CS at Harvard,Female
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,CS/Music,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,math/cs,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer science,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2019,Applied Math (Econ and CS),"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
16,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,maybe CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2016,Stats,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,Computer Science and HEB,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Statistics (potentially Computer Science),"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Math,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2019,Computer science ,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2019,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Computer Science ,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2016,Computer science,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,Computer Science & Mathematics,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2016,Statistics,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,Chemistry & Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Computer Science & Government,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer Science and Statistics,"Taken at least one CS class, and intending to concentrate in CS",Male
2016,CS / Math,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,computer science and statistics joint,"Taken at least one CS class, and intending to concentrate in CS",Male
2017,Math and CS (joint),"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Male
2018,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,CS&Math,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer science,"Taken at least one CS class, and intending to concentrate in CS",Male
2015,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,Computer Sciencd,"Taken at least one CS class, and intending to concentrate in CS",Female
2018,CS,"Taken at least one CS class, and intending to concentrate in CS",I'm an experience
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2017,CS,"Taken at least one CS class, and intending to concentrate in CS",Female
2016,Computer Science,"Taken at least one CS class, and intending to concentrate in CS",Female
