Timestamp,Graduation Year,Concentration (or best guess),Prior CS background:,"Have you ever considered taking a computer science course? If not, why not? If you have considered it, why did you decide not to take it?","If not, why not?","If you have considered taking a CS class, why did you decide not to take it?",Do you have plans to take any CS courses in the future?,Are you interested in getting a:,"In your opinion, should some programming knowledge be a requirement for graduation? If not, why not? If so, why?",Are you interested in pursuing a job with a quantitative focus after graduation?,What three words describe a computer science concentrator?,What made you decide to take your first CS course?,"Were there previous semesters in which you thought about taking a CS course but did not? If so, what stopped you from taking it before?",What were your impressions of the CS DEPARTMENT before you took your first class? After?,What were your impressions of CS students before you took your first class? After?,What was the best part of taking your first CS class?,What was the worst part of taking your first CS class?,"Do you think you‰Ûªll take another CS class? If so, why? If not, why not?",What three words would you use to describe a computer scientist concentrator?,Are you a CS Concentrator?,What CS classes have you taken?,How many years have you been programming?,What age did you start?,"Compared to others in your CS classes, you find your classes:",How good are you at programming compared to others in the CS classes you've taken?,How often do you go to office hours on average for your CS classes?,,How often do you think the average CS student goes to office hours?,How accessible is help in your CS classes?,How often do you interact with your CS professors outside of class?,How often do you interact with your CS class course staff?,"For a CS class with lectures twice a week, you attend lectures on average:","For a CS class with lectures twice a week, the average student attends lectures:",How involved do you feel with the CS community at Harvard?,"Do you consider yourself a member of any tech student organizations on campus? If yes, specify which ones.",How easy is it to find partners to work with on psets or final projects?,Are there any specific classes in which finding partners has been hard?,How have you met people to work on class material with?,What will you most likely pursue after graduation?,"If you are a sophomore, junior, or senior, what did you do last summer?",How stressful is the process of finding a summer internship/ job?,What three words would you use to describe a computer science concentrator?,What gender do you identify with,"By your estimates, is there a gender gap in enrollment in CS classes?","If yes, what factors (related or unrelated to college) do you think cause this gap?","If yes, what is the impact of this gender gap on your experience of CS at Harvard? ","Do you have a role model and/or mentor in CS? If so, who? ",I like CS because I am interested in the CS problems I get to think about and solve.,"Do you feel you have a mentor in CS? If so, who?","Who would you ask for CS help, if anyone?",I like CS because it gives me a tool to make a difference in other areas I care about.,I like CS primarily for some other reason:,How good are you at CS theory compared to others in the CS classes you've taken?,Secondary (if applicable),What subfield in tech industry would you be interested in working in?,What subfield in tech industry would you be interested in working in?,What will you most likely pursue after graduation?,What type of graduate school are you interested in?,What is your estimated concentration GPA?,What race(s) do you identify with?,How accessible are professors in your CS classes?,How accessible are teaching fellows in your CS classes?,Do you feel like you need more support in CS from:,,"Do you have a role model and/or mentor in CS? If so, who? ",Do you feel like you get the support you need for CS in terms of:,What subfield in tech industry would you be interested in working in?,,Are you a CS concentrator or intending to be a CS concentrator? ,Any comments on the accessibility of help?,How often do you interact with your professors?.
10/16/2015 19:18:46,2018,Government ,Never taken CS at Harvard,I've considered it but it seems like a big time commitment ,,,No,None of the above,No. Requirements like this would not be in the spirit of a liberal arts education. ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,Stereotypes that boys are better at quantitative things than girls. ,I haven't had any experience with CS. ,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/16/2015 19:32:03,2017,Psychology,Never taken CS at Harvard,"Yes, but I do not have any computer science background and I think CS50 would be too difficult for me, although it's the beginner course.",,,No,None of the above,"No, because some people do not want to learn it and feel like they will never have to or want to use it in their professional lives. ",No,"Smart, driven, dedicated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,"Prior CS exposure, stigma.","I see mostly men studying computer science jobs, getting jobs at tech firms, etc. ",,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/16/2015 19:34:07,2017,Mathematics,Never taken CS at Harvard,"Yes, I decided not to take CS courses because there were way too many math courses to take.",,,No,None of the above,I believe that knowing how to write a program should be a requirement for any science and engineering concentrator.,No,"money-seeking, lazy, bored",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,3,"I think there are way too many programs encouraging women to study CS, so much so that some guys feel a little overwhelmed.",Have no experience.,,,,,,,,Physics,,,,,,Asian,,,,,,,,,,,
10/16/2015 19:42:18,2018,Economics,Never taken CS at Harvard,I am currently taking CS50,,,Yes,CS Secondary,Yes I believe so. Computers are an integral part of our life so I think we should be familiar with how that work,No,Very very patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,3,My guess is that men tend to like CS more,A stereotype against women in cs,,,,,,,,,,,,,,Asian,,,,,,,,,,,
10/16/2015 19:46:59,2016,Economics,Never taken CS at Harvard,Yes - took CS50 for 2 weeks then dropped it ,,,No,None of the above,"In theory, that sounds like a useful thing to do, but I don't think the workload is feasible with all the other academic and other pursuits that people take on here. ",Yes,"nerdy, sometimes condescending to non-CS or non-STEM concentrators, sleep-deprived",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,"it being a ""boys' club"" ",N/A for me b/c I don't think being a man would increase my chances of studying CS,,,,,,,,History of Science,,,,,,Asian,,,,,,,,,,,
10/16/2015 19:49:27,2016,History and Science,Never taken CS at Harvard,"Yes, but didn't have room to take another difficult class with pre-med classes. ",,,No,None of the above,"No, but possibly yes b/c it's really useful knowledge. ",No,"brilliant, useful, cool",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,Misconceptions about the cs field,Most of the CS ppl I've met are males,,,,,,,,Neurobiology,,,,,,Asian,,,,,,,,,,,
10/16/2015 20:02:23,2017,HEB,Never taken CS at Harvard,"No, seems like a cult",,,No,None of the above,No,No,Team no sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,Women are stereotyped against ,"Seems male dominated, men suck",,,,,,,,neuro,,,,,,Caucasian,,,,,,,,,,,
10/16/2015 20:04:37,2016,Psychology,Never taken CS at Harvard,"Yes, I think CS skills would be helpful to learn because they'd be useful and applicable in a variety of contexts. I ultimately decided against taking it a Harvard though, because I did NOT want to take CS50. I didn't want to have to devote a significant amount of time towards learning CS. If the workload was lighter and easier, I may have reconsidered.",,,No,None of the above,"I don't think it should. People should be able to choose whether or not it's something they're interested in learning. If you force everyone to learn it, I think it may even make people less attracted to it. ",No,"tech-savvy, sleepless, hirable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,Maybe just less girls are interested in CS. Or many may assume that the field is more popular among guys. I don't know if this gap is particularly apparent at Harvard -åÊI think just as many girls as boys I've talked to are interested in CS.,No impact.,,,,,,,,Economics,,,,,,Asian,,,,,,,,,,,
10/16/2015 20:10:48,2018,Government ,Never taken CS at Harvard,"No, I do not have an interest.",,,No,None of the above,"No.
Specialized and technical skill set that does not belong in a liberal arts education.",Yes,"Busy, focused, dedicated to CS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,Structural sexism. More men encouraged to go into CS.,NA,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2015 20:19:39,2017,HDRB,Never taken CS at Harvard,"I have not because I feel that in terms of my current goals, the necessary amount of computer savvy and coding that I would need to know, I can learn online.",,,No,None of the above,"I do not believe that it should be a requirement for graduation, but perhaps more ubiquitous requirement across some more relevant concentrations. I believe that programming knowledge is not a point yet where people of all distinct fields and aspirations would find it instrumental, or even that helpful, to their future success.",No,"intelligent, passionate, logical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,1,"I have no idea, but I feel like the normative perception is that it is a predominantly male-driven field in general. As it pertains to Harvard, however, I have seen greater equity across math and science fields than would be assumed looking at society norms.",It has no impacted my experience with CS at Harvard. I am not a CS concentrator and my friends in CS do not ever talk about such a thing.,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/16/2015 20:26:28,2018,Heb,Never taken CS at Harvard,Didn't fit in schedule,,,Yes,None of the above,Yes because today is dependent on tech,Yes,Tech savvy robot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,General Interest,Less females in class,,,,,,,,,,,,,,Asian,,,,,,,,,,,
10/16/2015 20:47:30,2016,OEB,Never taken CS at Harvard,"I had because I wanted to learn computer programming, but I did not want to take CS50 due to the course structure and number of students enrolled.",,,No,None of the above,"It seems nice in theory, but I'm afraid it would just force everyone to take CS50, which isn't the right class for everyone.",No,"Smart, Hardworking, Creative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,"Young women thinking they are not ""smart enough"" to take CS or not being encouraged to consider CS.","There has not really been an impact of the gender gap while I have been at Harvard, as I am not a CS concentrator. ",,,,,,,,NA,,,,,,"Black or African American, Caucasian",,,,,,,,,,,
10/16/2015 20:59:59,2016,Sociology,Never taken CS at Harvard,"Yes. Considered CS50, but overwhelmed by the size of the class and all of the hype. Warned by friends about the workload. Tried over winter break to watch the videos online and do the psets on my own to prepare in advance for the class. Didn't go so well. Considered CS1, for something more lowkey, but disappointed it only taught Java, which I didn't feel was as useful as another language. ",,,No,None of the above,Maybe. A requirement to graduate seems a bit strong. But it would definitely be a useful skill to have and get ahead in our changing world. ,No,"determined, logical, nerdy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,societal expectations and stereotypes. subtle pressures for women to view themselves as people-oriented and go into such fields. unintentionally patronizing attitudes by male peers. what your friends are doing or talking about. lack of exposure to a field of interest. ,Not sure. ,,,,,,,,Psychology,,,,,,Caucasian,,,,,,,,,,,
10/16/2015 21:44:02,2016,Human Developmental and Regenerative Biology,Never taken CS at Harvard,"No, too much time commitment ",,,No,None of the above,"Yes, because it is a relevant skill that can be applied in many contexts ",Yes,"Analytical, logical, rational",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,"Personal interests, awareness",No impact,,,,,,,,East Asian Studies,,,,,,American Indian or Alaskan Native,,,,,,,,,,,
03/11/16 13:24,2018,Environmental Science and Public Policy,Never taken CS at Harvard,Yeah I plan on it as I think a general understanding of how it works (a la CS50) would enhance my understanding of the world around me.,,,Yes,None of the above,"Requirement, no. It's really not something that people need to know at all to live happy, successful, enriched lives. I do think it would help me live such a life, but I don't think that's true for all people.",Yes,"Dedicated, Focused, Unhealthy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,4,"It's not a very sexy career, by and large. Sure the big shots have sexy careers, but overall it's not something a lot of women seem to want to get behind. Men often interact with things heavily dependent on CS more thoroughly than women do as well (e.g. video games are much more popular among men) so this probably drives up their interest.",I don't think it really matters.,,,,,,,,Economics,,,,,,Caucasian,,,,,,,,,,,
10/16/2015 22:55:46,2018,Government,Never taken CS at Harvard,"I have never considered taking a CS class. I am exceptionally bad with technology, and computers especially. While improving one's skills in this area is usually grounds for people to take CS classes, I feel like there would be no possible way for me to pass the class without a good handle of the skills.",,,No,None of the above,"No, because then people like me would not graduate.",No,"Nerdy, focused, uncreative.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,4,I think women can be discouraged from taking CS because it can be viewed as not being feminine.,I have no experience in CS at Harvard.,,,,,,,,Religion,,,,,,Latino/Hispanic,,,,,,,,,,,
10/16/2015 23:11:49,2018,Government,Never taken CS at Harvard,"I've thought about CS50, but since I'm planning on doing Advanced Standing, I don't have room for it.",,,No,None of the above,I don't think it should be a requirement--I don't think coding comes up in daily life for those outside of the programming community to the same extent that science or math pervades everyday life for non-science or math people.,No,"Hardworking, Perceptive, Persistent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,3,I just think that the CS archetype is male and society is often slow to change these sorts of preconceptions.,"Since I have not been in CS classes, I can't say I've witnessed it, but discussion of the topic has come up in conversation before.",,,,,,,,Economics,,,,,,Caucasian,,,,,,,,,,,
10/16/2015 23:13:19,2018,History of Science,Never taken CS at Harvard,I'm not interested in programming and have seen other non-CS friends go into CS50 very optimistic then end up struggling a lot with it. ,,,No,None of the above,"I absolutely don't think it should be a graduation requirement. With how loose the current requirements are, there are plenty of more important areas of knowledge that get passed over that should be required before CS. ",No,"Driven, focused, ambitious ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,5,I imagine it's partially a lack of exposure to programming in high school and earlier and partially intimidation caused by the current gender gap. ,I have no experience,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/16/2015 23:49:08,2017,Economics,Never taken CS at Harvard,No. Never interested. CS50 seems too cultish. ,,,No,None of the above,"No. Support gen ed ideals, but programming is too specific to fit in with these aims. ",Yes,"Hard working, proud, glasses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,2,None,None,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/17/2015 0:30:55,2016,Economics,Never taken CS at Harvard,"Took AP Computer Science in high school, learned some basic programming but did not like it very much.",,,No,None of the above,"Possibly yes, because a lot of what determines our future career and life experiences will be driven by programming.",Yes,"Debugging, Smart, Nerdy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,"Traditionally male dominated field, possibly with the perception that men are better at coding because they are more logical/better at math.",There is actually a pretty strong representation of women here who are CS so I think the gender disparity will disappear soon as more women go into the field and more career opportunities are geared at attracting women to CS.,,,,,,,,Global Health,,,,,,Asian,,,,,,,,,,,
10/17/2015 0:35:25,2018,Government,Never taken CS at Harvard,"Yes. I think it would be an incredibly useful skill to have; however, I don't have time in the near future to take a CS course. ",,,No,None of the above,"I do not think it should be a requirement; however, I think, like economics, it's definitely a skill people should try to obtain - at a basic level - at some point early in life. ",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,2,Unsure,Not applicable,,,,,,,,Music,,,,,,Biracial,,,,,,,,,,,
10/17/2015 0:36:31,2017,ESPP,Never taken CS at Harvard,"I've considered taking CS50, but haven't really ever had a semester I've been willing to dedicate to the class. ",,,Yes,None of the above,"Definitely not. From what I've seen of my friends in CS classes, the classes can be very monopolizing and time-consuming. I didn't come to Harvard to spend the majority of a semester focused on a CS pset when I could be delving into my readings or engaging with the rest of my academic work. Yes computer programming is a valuable skill, but I think requiring it for graduation could negatively impact many students' Harvard experience. ",No,"Hardworking, over-committed, always psetting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,I don't know enough about CS classes at Harvard to know if there is a gender gap. ,NA,,,,,,,,RLL - Spanish,,,,,,Caucasian,,,,,,,,,,,
10/17/2015 0:41:09,2017,MCB,Never taken CS at Harvard,"I considered taking CS50, but since I want to be a doctor and since there are so many other classes that I'm more interested in taking, I decided against it. ",,,No,None of the above,"No, because it's not practical for everyone, and I think it's important to maintain as much flexibility in terms of what classes you can take as possible. ",No,"hard-working, CS50 cult",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,2,Not sure since I haven't taken a CS class,None since I haven't taken a CS class,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/17/2015 0:42:37,2018,History of Art and Architecture/Social Anthropology,Never taken CS at Harvard,"No, no interest in STEM in general, let alone computer science. ",,,No,None of the above,"No. Unlike the Ged Ed requirements in the sciences and the humanities, computer programming is a trade, not a requirement for successful participation as an educated member of society. ",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,4,"Traditional, but slowly reducing gender gaps in STEM. ",Unclear. ,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
10/17/2015 0:50:38,2017,Astrophysics+physics joint,Never taken CS at Harvard,"I was pushed away from CS50 freshman year because it seemed like a shallow intro class and I had already had some experience. However, I just happened to have time conflict with the other lower lever courses over the last few semesters and I didn't feel confident enough to take higher level cs courses.",,,Yes,CS Secondary,I think some degree of programming knowledge is really important but I feel like students already have too many requirements for graduation. It becomes stifling and limits our own choices.,Yes,"Dedicated, chill, analytical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,2,Probably precollege experiences,No real impact to me because I haven't had any cs classes.,,,,,,,,,,,,,,Asian,,,,,,,,,,,
10/17/2015 1:20:08,2017,History of Science,Never taken CS at Harvard,No - More interested in other things. Don't think I fit in with the culture,,,No,None of the above,Yes - but not if it requires taking a class that dominates your existence.,No,"Focused, Driven, Creative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,not a huge gap,I don't see it much - but I'm not particularly involved,,,,,,,,Ethnicity Migration and Rights,,,,,,"Asian, Caucasian",,,,,,,,,,,
10/17/2015 1:50:53,2017,Economics,Never taken CS at Harvard,No.,,,No,None of the above,"No, students should be given the freedom to choose. Perhaps it should be highly recommended. ",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,3,Uncertain,Under-representation of women in CS courses. ,,,,,,,,,,,,,,Asian,,,,,,,,,,,
10/17/2015 2:39:33,2018,Math/Physics,Never taken CS at Harvard,I haven't due to conflict in schedules,,,Yes,None of the above,Yes because of its diverse applications,Yes,"creative,analytical,hardworking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,3,Perception of CS,less diversity,,,,,,,,,,,,,,Black or African American,,,,,,,,,,,
10/17/2015 2:55:23,2018,Philosophy,Never taken CS at Harvard,no; I'm not quantitative and it doesn't interest me,,,No,None of the above,no; many people will never have any use for it,No,"Smart, hardworking, boring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,"It seems like there's a perception that there are less opportunities for women in tech after college, and those that do score great positions are chewed up and spat out after a few years both because it's cutthroat and because there are lingering feelings of sexism that permeate this country, especially in this industry.","less women take CS classes, finding they can succeed in other areas without facing as much gender-based discrimination",,,,,,,,Classical Civilizations,,,,,,Caucasian,,,,,,,,,,,
10/17/2015 2:59:21,2017,History,Never taken CS at Harvard,Yes. I want to take CS50 but haven't had a semester which would allow me adequate time to fit in the course.,,,Yes,None of the above,No. Programming isn't relevant for everyone and what they wish to do in the future.,Yes,Detail oriented programmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,Historic employment trends that are just starting to change and will take time to reflect in the classroom.,Answered above,,,,,,,,Economics,,,,,,Asian,,,,,,,,,,,
10/17/2015 8:20:01,2016,hdRb,Never taken CS at Harvard,"No, no time",,,No,None of the above,"No, not everyone needs it",No,Smart hardworking dedicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,3,Math,More xs concentrators are male,,,,,,,,Ghhp,,,,,,Caucasian,,,,,,,,,,,
10/17/2015 9:49:55,2018,"Theater, Dance, and Media",Never taken CS at Harvard,"I shopped cs50 this semester, but it ended up conflicted with another class I wanted to take. Also, it felt very impersonal due to the large class size. ",,,No,None of the above,No. I think computer programming as a requirement is not necessarily in line with the ideals of obtaining a liberal arts education. ,No,"interesting, talented, innovative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,2,I have no first-hand knowledge of the CS department. ,It has not impacted my experience of CS at Harvard. ,,,,,,,,Psychology,,,,,,Caucasian,,,,,,,,,,,
10/17/2015 10:18:17,2018,HDRB,Never taken CS at Harvard,"Yes, because coding is an extremely useful skill to know. I decided not take a CS class, however, because I do not plan to do anything relating to coding and I simply do not have the time and energy to take an extremely difficult class when I won't get much use out of it.",,,No,None of the above,"No!! Programming is a useful skill, sure, but that doesn't mean that everyone who has no interest in programming or is planning for a career that has no use for programming should be forced to fit a programming class into an already gen-ed and concentration requirement-packed schedule.",No,can't describe a whole group of diverse people...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,2,N/A,N/A,,,,,,,,,,,,,,Caucasian,,,,,,,,,,,
